,Course,Education Level,Institutions,Year,GM (%)
4682,SARJANA SAINS SOSIAL (PENGAJIAN PERTAHANAN) UKM-MPAT,Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4683,SARJANA SAINS SOSIAL (PENGAJIAN PERTAHANAN) UKM-MPAT,Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4684,SARJANA SAINS SOSIAL (PENGAJIAN RASUAH),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4685,SARJANA SAINS SOSIAL (PENGAJIAN RASUAH),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4686,SARJANA SAINS SOSIAL (PENGURUSAN KOMUNIKASI),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4687,SARJANA SAINS SOSIAL (PENGURUSAN KOMUNIKASI),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4688,SARJANA SAINS SOSIAL (PSIKOLOGI INDUSTRI DAN ORGANISASI),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4689,SARJANA SAINS SOSIAL (SAINS PEMBANGUNAN),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4690,SARJANA SAINS SOSIAL (SAINS PEMBANGUNAN),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4691,SARJANA SAINS SOSIAL (SAINS POLITIK),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4692,SARJANA SAINS SOSIAL (SAINS POLITIK),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4693,SARJANA SAINS SOSIAL (STRATEGI & DIPLOMASI),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4694,SARJANA SAINS SUKAN,Sarjana,UNIVERSITI MALAYA,2022,100
4695,SARJANA SAINS SUKAN,Sarjana,UNIVERSITI MALAYA,2023,100
4696,SARJANA SAINS SUKAN,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,100
4697,SARJANA SAINS SURGERI (KARDIOTORASIK),Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,100
4698,SARJANA SAINS TANAMAN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4699,SARJANA SAINS TEKNOLOGI MAKLUMAT,Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,100
4700,SARJANA SAINS TEKSTIL,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,100
4701,SARJANA SASTERA,Sarjana,UNIVERSITI MALAYA,2023,100
4702,SARJANA SASTERA,Sarjana,UNIVERSITI MALAYSIA KELANTAN,2022,100
4703,SARJANA SASTERA,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2022,100
4704,SARJANA SASTERA,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2023,100
4705,SARJANA SASTERA,Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
4706,SARJANA SASTERA,Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2023,100
4707,SARJANA SASTERA (ARKEOLOGI),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4708,SARJANA SASTERA (DRAMA & TEATER),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4709,SARJANA SASTERA (FALSAFAH),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4710,SARJANA SASTERA (GEOGRAFI),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4711,SARJANA SASTERA (GEOGRAFI),Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
4712,SARJANA SASTERA (GEOGRAFI),Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2023,100
4713,SARJANA SASTERA (GEOGRAFI),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4714,SARJANA SASTERA (GEOGRAFI),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4715,SARJANA SASTERA (HADITH),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4716,SARJANA SASTERA (HUBUNGAN ANTARABANGSA),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4717,SARJANA SASTERA (HUBUNGAN INDUSTRI),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4718,SARJANA SASTERA (KAJIAN BAHASA MELAYU),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4719,SARJANA SASTERA (KAJIAN BAHASA MELAYU),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4720,SARJANA SASTERA (KAJIAN BAHASA),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4721,SARJANA SASTERA (KAJIAN BAHASA),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4722,SARJANA SASTERA (KESUSASTERAAN INGGERIS),Sarjana,UNIVERSITI MALAYA,2022,100
4723,SARJANA SASTERA (KESUSASTERAAN INGGERIS),Sarjana,UNIVERSITI MALAYA,2023,100
4724,SARJANA SASTERA (KESUSASTERAAN MELAYU),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4725,SARJANA SASTERA (KESUSASTERAAN PASCAKOLONIAL DALAM BAHASA INGGERIS),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4726,SARJANA SASTERA (KESUSASTERAAN PASCAKOLONIAL DALAM BAHASA INGGERIS),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4727,SARJANA SASTERA (KESUSASTERAAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4728,SARJANA SASTERA (KEWANGAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4729,SARJANA SASTERA (KOMUNIKASI),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4730,SARJANA SASTERA (KOMUNIKASI),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4731,SARJANA SASTERA (KOMUNIKASI),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4732,SARJANA SASTERA (KOMUNIKASI),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4733,SARJANA SASTERA (LINGUISTIK DAN PENGAJIAN BAHASA INGGERIS),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4734,SARJANA SASTERA (LINGUISTIK),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4735,SARJANA SASTERA (LINGUISTIK),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4736,SARJANA SASTERA (PENDARASAN ISLAM),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4737,SARJANA SASTERA (PENDIDIKAN TINGGI),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4738,SARJANA SASTERA (PENDIDIKAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4739,SARJANA SASTERA (PENDIDIKAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4740,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN AWAL KANAK-KANAK,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4741,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN AWAL KANAK-KANAK,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4742,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN BAHASA INGGERIS/TESOL,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4743,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN BAHASA INGGERIS/TESOL,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4744,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN BAHASA MELAYU,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4745,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN BAHASA MELAYU,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4746,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN KHAS,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4747,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN MATEMATIK,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4748,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN MATEMATIK,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4749,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN SAINS,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4750,SARJANA SASTERA (PENDIDIKAN) - PENDIDIKAN SAINS,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4751,SARJANA SASTERA (PENDIDIKAN) - PENGAJIAN KURIKULUM,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4752,SARJANA SASTERA (PENDIDIKAN) - PENGAJIAN KURIKULUM,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4753,SARJANA SASTERA (PENDIDIKAN) - PENGURUSAN DAN PENTADBIRAN PENDIDIKAN,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4754,SARJANA SASTERA (PENDIDIKAN) - PENGURUSAN DAN PENTADBIRAN PENDIDIKAN,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4755,SARJANA SASTERA (PENDIDIKAN) - PSIKOLOGI PENDIDIKAN,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4756,SARJANA SASTERA (PENDIDIKAN) - PSIKOLOGI PENDIDIKAN,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4757,SARJANA SASTERA (PENDIDIKAN) - PSIKOMETRIK DAN PENGUKURAN PENDIDIKAN,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4758,SARJANA SASTERA (PENDIDIKAN) - PSIKOMETRIK DAN PENGUKURAN PENDIDIKAN,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4759,SARJANA SASTERA (PENDIDIKAN) - TEKNOLOGI PENDIDIKAN DAN MULTIMEDIA,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4760,SARJANA SASTERA (PENGAJIAN ASIA TENGGARA),Sarjana,UNIVERSITI MALAYA,2022,100
4761,SARJANA SASTERA (PENGAJIAN ASIA TENGGARA),Sarjana,UNIVERSITI MALAYA,2023,100
4762,SARJANA SASTERA (PENGAJIAN BAHASA MELAYU KONTEMPORARI),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4763,SARJANA SASTERA (PENGAJIAN BAHASA MELAYU KONTEMPORARI),Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4764,SARJANA SASTERA (PENGAJIAN BAHASA MELAYU),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4765,SARJANA SASTERA (PENGAJIAN DAN PENDIDIKAN BAHASA),Sarjana,UNIVERSITI MALAYSIA KELANTAN,2023,100
4766,SARJANA SASTERA (PENGAJIAN ISLAM),Sarjana,UNIVERSITI MALAYSIA KELANTAN,2023,100
4767,SARJANA SASTERA (PENGAJIAN ISLAM),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4768,SARJANA SASTERA (PENGAJIAN ISLAM),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4769,SARJANA SASTERA (PENGAJIAN PENERBITAN),Sarjana,UNIVERSITI MALAYA,2022,100
4770,SARJANA SASTERA (PENGAJIAN PENERBITAN),Sarjana,UNIVERSITI MALAYA,2023,100
4771,SARJANA SASTERA (PENGAJIAN STRATEGIK DAN PERTAHANAN),Sarjana,UNIVERSITI MALAYA,2023,100
4772,SARJANA SASTERA (PENGAJIAN TAMADUN),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4773,SARJANA SASTERA (PENGAJIAN WARISAN),Sarjana,UNIVERSITI MALAYSIA KELANTAN,2023,100
4774,SARJANA SASTERA (PENGURUSAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4775,SARJANA SASTERA (PERAKAUNAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4776,SARJANA SASTERA (PSIKOLOGI),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4777,SARJANA SASTERA (SAINS POLITIK),Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4778,SARJANA SASTERA (SEJARAH ASIA TENGGARA),Sarjana,UNIVERSITI MALAYA,2022,100
4779,SARJANA SASTERA (SEJARAH ASIA TENGGARA),Sarjana,UNIVERSITI MALAYA,2023,100
4780,SARJANA SASTERA (SEJARAH ASIA TENGGARA),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4781,SARJANA SASTERA (SEJARAH ASIA TENGGARA),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4782,SARJANA SASTERA (SEJARAH MALAYSIA),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4783,SARJANA SASTERA (SEJARAH MALAYSIA),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4784,SARJANA SASTERA (SEJARAH MALAYSIA),Sarjana,UNIVERSITI MALAYA,2022,100
4785,SARJANA SASTERA (SEJARAH MALAYSIA),Sarjana,UNIVERSITI MALAYA,2023,100
4786,SARJANA SASTERA (SEJARAH),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4787,SARJANA SASTERA (SEJARAH),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4788,SARJANA SASTERA (SEJARAH),Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4789,SARJANA SASTERA (SENI HALUS),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4790,SARJANA SASTERA (SOSIOLOGI DAN ANTROPOLOGI SOSIAL),Sarjana,UNIVERSITI MALAYSIA SABAH,2022,100
4791,SARJANA SASTERA (SOSIOLOGI),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4792,SARJANA SASTERA (SYARIAH),Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
4793,SARJANA SASTERA (TEKNOLOGI PENDIDIKAN),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4794,SARJANA SASTERA (TERJEMAHAN UNTUK PROFESIONAL),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4795,SARJANA SASTERA PENGAJIAN MELAYU,Sarjana,UNIVERSITI MALAYA,2023,100
4796,SARJANA SASTERA PSIKOLOGI,Sarjana,TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY,2022,100
4797,SARJANA SEJARAH SENI DAN PENGURUSAN KEBUDAYAAN,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,100
4798,SARJANA SENI,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2022,100
4799,SARJANA SENI,Sarjana,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
4800,SARJANA SENI BINA LANDSKAP,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4801,SARJANA SENI BINA LANDSKAP,Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4802,SARJANA SENI PERSEMBAHAN (DRAMA),Sarjana,UNIVERSITI MALAYA,2022,100
4803,SARJANA SENI PERSEMBAHAN (DRAMA),Sarjana,UNIVERSITI MALAYA,2023,100
4804,SARJANA SENI PERSEMBAHAN (MUZIK),Sarjana,UNIVERSITI MALAYA,2022,100
4805,SARJANA SENI PERSEMBAHAN (MUZIK),Sarjana,UNIVERSITI MALAYA,2023,100
4806,SARJANA SENI PERSEMBAHAN (TARI),Sarjana,UNIVERSITI MALAYA,2022,100
4807,SARJANA SENI PERSEMBAHAN (TARI),Sarjana,UNIVERSITI MALAYA,2023,100
4808,SARJANA SENIBINA,Sarjana,TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY,2022,100
4809,SARJANA SENIBINA,Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4810,SARJANA SENIBINA,Sarjana,UNIVERSITI MALAYA,2023,100
4811,SARJANA SENIBINA,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2023,100
4812,SARJANA SISTEM LESTARI,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
4813,SARJANA SISTEM LESTARI,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2023,100
4814,SARJANA SISTEM MAKLUMAT,Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4815,SARJANA SISTEM MAKLUMAT,Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4816,SARJANA SISTEM MAKLUMAT (SISTEM PINTAR),Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,100
4817,SARJANA SISTEM MAKLUMAT (SISTEM PINTAR),Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,100
4818,SARJANA STATISTIK SAINS MARIN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,100
4819,SARJANA STATISTIK SAINS MARIN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4820,SARJANA SURGERI,Sarjana,UNIVERSITI MALAYA,2022,100
4821,SARJANA SURGERI,Sarjana,UNIVERSITI MALAYA,2023,100
4822,SARJANA SURGERI (NEUROSURGERI),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4823,SARJANA SURGERI (NEUROSURGERI),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4824,SARJANA SURGERI (SURGERI PLASTIK),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,100
4825,SARJANA SURGERI (SURGERI PLASTIK),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,100
4826,SARJANA SURGERI ORTOPEDIK,Sarjana,UNIVERSITI MALAYA,2022,100
4827,SARJANA SURGERI ORTOPEDIK,Sarjana,UNIVERSITI MALAYA,2023,100
4828,SARJANA SURGERI ORTOPEDIK,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2022,100
4829,SARJANA SURGERI ORTOPEDIK,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2023,100
4830,SARJANA SYARIAH,Sarjana,UNIVERSITI MALAYA,2022,100
4831,SARJANA SYARIAH,Sarjana,UNIVERSITI SAINS ISLAM MALAYSIA,2022,100
4832,SARJANA SYARIAH,Sarjana,UNIVERSITI SAINS ISLAM MALAYSIA,2023,100
4833,SARJANA SYARIAH,Sarjana,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
4834,SARJANA SYARIAH (EKONOMI ISLAM),Sarjana,UNIVERSITI MALAYA,2022,100
4835,SARJANA SYARIAH (FIQH DAN USUL),Sarjana,UNIVERSITI MALAYA,2023,100
4836,SARJANA SYARIAH (PENGURUSAN DAN KEWANGAN ISLAM),Sarjana,UNIVERSITI MALAYA,2022,100
4837,SARJANA SYARIAH (PENGURUSAN DAN KEWANGAN ISLAM),Sarjana,UNIVERSITI MALAYA,2023,100
4838,SARJANA SYARIAH (UNDANG-UNDANG SYARIAH),Sarjana,UNIVERSITI MALAYA,2023,100
4839,SARJANA TADBIR URUS KORPORAT,Sarjana,TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY,2022,100
4840,SARJANA TARI,Sarjana,UNIVERSITI MALAYA,2023,100
4841,SARJANA TEKNO INOVASI,Sarjana,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,100
4842,SARJANA TEKNO INOVASI,Sarjana,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2023,100
4843,SARJANA TEKNOLOGI (PENGURUSAN ALAM SEKITAR),Sarjana,UNIVERSITI MALAYA,2022,100
4844,SARJANA TEKNOLOGI (SAINS DATA DAN ANALITIK),Sarjana,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,100
4845,SARJANA TEKNOLOGI (SAINS DATA DAN ANALITIK),Sarjana,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2023,100
4846,SARJANA TEKNOLOGI ALAM SEKITAR,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4847,SARJANA TEKNOLOGI DAN KEJURUTERAAN KIMIA,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4848,SARJANA TEKNOLOGI DAN KEJURUTERAAN MARITIM,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4849,SARJANA TEKNOLOGI DAN PENGURUSAN ALAM SEKITAR,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,100
4850,SARJANA TEKNOLOGI DAN SAINS MAKANAN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,100
4851,SARJANA TEKNOLOGI DAN SAINS MAKANAN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4852,SARJANA TEKNOLOGI KEJURUTERAAN (KEJURUTERAAN KIMIA),Sarjana,UniKL-MALAYSIAN INSTITUTE OF CHEMICAL AND BIOENGINEERING TECHNOLOGY,2023,100
4853,SARJANA TEKNOLOGI MAKLUMAT,Sarjana,OPEN UNIVERSITY MALAYSIA,2022,100
4854,SARJANA TEKNOLOGI MAKLUMAT,Sarjana,UNIVERSITI ISLAM SELANGOR,2022,100
4855,SARJANA TEKNOLOGI MAKLUMAT,Sarjana,UNIVERSITI ISLAM SELANGOR,2023,100
4856,SARJANA TEKNOLOGI MAKLUMAT,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,100
4857,SARJANA TEKNOLOGI MAKLUMAT,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
4858,SARJANA TEKNOLOGI MAKLUMAT (INFORMATIK PENGURUSAN),Sarjana,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
4859,SARJANA TEKNOLOGI MAKLUMAT (INFORMATIK PENGURUSAN),Sarjana,UNIVERSITI SULTAN ZAINAL ABIDIN,2023,100
4860,SARJANA TEKNOLOGI MAKLUMAT (SAINS MAKLUMAT),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4861,SARJANA TEKNOLOGI MAKLUMAT (SAINS MAKLUMAT),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4862,SARJANA TEKNOLOGI MAKLUMAT (SISTEM MAKLUMAT PENGURUSAN),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4863,SARJANA TEKNOLOGI MAKLUMAT (SISTEM MULTIMEDIA),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,100
4864,SARJANA TEKNOLOGI MAKLUMAT DALAM PENGKOMPUTERAN RANGKAIAN,Sarjana,OPEN UNIVERSITY MALAYSIA,2022,100
4865,SARJANA TEKNOLOGI MAKLUMAT PENGKHUSUSAN: PENGURUSAN TEKNOLOGI MAKLUMAT,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2023,100
4866,SARJANA TEKNOLOGI MARITIM,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,100
4867,SARJANA TEKNOLOGI PENGAJARAN (REKA BENTUK PENGAJARAN),Sarjana,UNIVERSITI MALAYA,2022,100
4868,SARJANA TEKNOLOGI PENGAJARAN (REKA BENTUK PENGAJARAN),Sarjana,UNIVERSITI MALAYA,2023,100
4869,SARJANA TEKNOLOGI PENGURUSAN ALAM SEKITAR,Sarjana,UNIVERSITI MALAYA,2022,100
4870,SARJANA TEKNOLOGI PENGURUSAN ALAM SEKITAR,Sarjana,UNIVERSITI MALAYA,2023,100
4871,SARJANA TENAGA BOLEH DIPERBAHARU,Sarjana,UNIVERSITI MALAYA,2022,100
4872,SARJANA TENAGA BOLEH DIPERBAHARU,Sarjana,UNIVERSITI MALAYA,2023,100
4873,SARJANA TENAGA DAN ELEKTRIK,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4874,SARJANA UNDANG-UNDANG,Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
4875,SARJANA UNDANG-UNDANG,Sarjana,UNIVERSITI SAINS ISLAM MALAYSIA,2022,100
4876,SARJANA UNDANG-UNDANG,Sarjana,UNIVERSITI SULTAN ZAINAL ABIDIN,2023,100
4877,SARJANA UNDANG-UNDANG,Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4878,SARJANA UNDANG-UNDANG,Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4879,SARJANA UNDANG-UNDANG (UNDANG-UNDANG ANTARABANGSA),Sarjana,UNIVERSITI SAINS ISLAM MALAYSIA,2022,100
4880,SARJANA UNDANG-UNDANG KOMERSIL,Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4881,SARJANA UNDANG-UNDANG KOMERSIL,Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4882,SARJANA UNDANG-UNDANG KORPORAT,Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4883,SARJANA UNDANG-UNDANG KORPORAT,Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4884,SARJANA UNDANG-UNDANG PERBANDINGAN,Sarjana,UNIVERSITI SAINS ISLAM MALAYSIA,2022,100
4885,SARJANA UNDANG-UNDANG PERBANDINGAN,Sarjana,UNIVERSITI SAINS ISLAM MALAYSIA,2023,100
4886,SARJANA UNDANG-UNDANG SUMBER MANUSIA,Sarjana,UNIVERSITI UTARA MALAYSIA,2022,100
4887,SARJANA UNDANG-UNDANG SUMBER MANUSIA,Sarjana,UNIVERSITI UTARA MALAYSIA,2023,100
4888,SARJANA USULUDDIN,Sarjana,UNIVERSITI MALAYA,2023,100
4889,SARJANA USULUDDIN,Sarjana,UNIVERSITI SULTAN AZLAN SHAH,2023,100
4890,SARJANA USULUDDIN,Sarjana,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
4891,SARJANA USULUDDIN (AL-QURAN DAN AL-HADITH),Sarjana,UNIVERSITI MALAYA,2022,100
4892,SARJANA USULUDDIN (DAKWAH DAN PEMBANGUNAN INSAN),Sarjana,UNIVERSITI MALAYA,2023,100
4893,SARJANA ZOOLOGI,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,100
4894,SARJANA MUDA KEJURUTERAAN (MEKANIKAL),Ijazah pertama,UNIVERSITI TEKNOLOGI MALAYSIA,2022,99.8
4895,IJAZAH DOKTOR PERUBATAN,Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,99.7
4896,DOKTOR FALSAFAH,PhD,UNIVERSITI PUTRA MALAYSIA,2022,99.6
4897,DOKTOR FALSAFAH,PhD,UNIVERSITI PUTRA MALAYSIA,2023,99.6
4898,DOKTOR PERUBATAN,Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,99.6
4899,SARJANA FALSAFAH,Sarjana,UNIVERSITI TEKNOLOGI MALAYSIA,2022,99.5
4900,SARJANA MUDA SAINS PERUBATAN DAN KESIHATAN DENGAN KEPUJIAN,Ijazah pertama,OPEN UNIVERSITY MALAYSIA,2023,99.5
4901,SARJANA PENDIDIKAN (PENGAJIAN KURIKULUM),Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2023,99.5
4902,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,99.4
4903,BACHELOR OF BUSINESS (HONOURS) (INTERNATIONAL BUSINESS AND MARKETING),Ijazah pertama,TAYLOR'S UNIVERSITY,2022,99.4
4904,BACHELOR OF BUSINESS ADMINISTRATION (HONS) IN ISLAMIC FINANCE,Ijazah pertama,UniKL-BUSINESS SCHOOL,2023,99.4
4905,IJAZAH SARJANA MUDA PENDIDIKAN (SEJARAH) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,99.4
4906,SARJANA MUDA SAINS KEJURURAWATAN DENGAN KEPUJIAN,Ijazah pertama,OPEN UNIVERSITY MALAYSIA,2022,99.4
